Name,Image,tags
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k7usyvk0/mobile/g/u/h/mi-redmi-note-9-b0784d862l-original-imafqy27dchrz3af.jpeg?q=70,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (interstellar black, 128 gb)"
"Redmi Note 9 Pro (Glacier White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (glacier white, 128 gb)"
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (interstellar black, 64 gb)"
"Realme 7 (Mist White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm 7 (mist white, 128 gb)"
"Realme 7 (Mist Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm 7 (mist blue, 64 gb)"
"Realme 6 Pro (Lightning Orange, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"snapdragon 720g processor realm 6 pro (lightn orange, 64 gb)"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (aurora blue, 128 gb)"
"Realme 6 Pro (Lightning Red, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"snapdragon 720g processor realm 6 pro (lightn red, 64 gb)"
"Redmi Note 8 (Neptune Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor redmi note 8 (neptun blue, 64 gb)"
"OPPO A9 2020 (Space Purple, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor oppo a9 2020 (space purple, 128 gb)"
"Realme 6 Pro (Lightning Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"snapdragon 720g processor realm 6 pro (lightn blue, 128 gb)"
